LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
218;19504;19914;22392;26381;20899;3673;13498;25448;12233;22863;33268;21360;21236;18284
219;19536;19306;22586;26687;21105;3683;17447;25545;12688;23265;33794;21366;21363;18769
220;19536;19379;22553;26255;20778;3683;13522;25525;12139;22973;33761;21180;21131;18252
221;19522;19472;22163;26663;20821;3658;13573;25622;12257;23174;34064;21383;21342;18325
222;19529;19432;22536;26492;21018;3655;17887;25499;12273;23197;33794;21393;21731;18754
223;18950;19571;22732;26714;20972;3691;13486;25499;12305;23129;33172;21180;20702;18244
224;19296;19293;22520;26386;20802;3651;13447;25474;12115;22819;33861;21283;21215;18217
225;19480;19571;22568;26392;20960;3716;17121;25474;12081;23107;31579;21080;21342;18541
226;19526;19209;22447;26314;20960;3728;13631;25525;12221;22710;33861;21227;21173;18279
227;19529;19479;22200;26439;20827;3687;14147;25448;12943;22775;33761;21299;21385;18414
228;19218;19663;22582;26391;21079;3658;17415;25474;12257;23220;34132;21337;21215;18687
229;19314;19525;22614;26770;20774;3716;13524;25499;12305;23040;33794;21427;21173;18333
230;19247;19214;22774;26613;21066;3724;18026;25499;12438;22244;31796;21203;21111;18597
231;19518;19578;22287;26889;21140;3694;13576;25622;12688;22819;32448;21407;21342;18348
232;19504;19333;22223;26043;20831;3702;17015;25448;12402;22775;33761;21305;21173;18575
233;19483;19432;22400;26239;20727;3644;13423;25545;12281;22775;33861;21249;21539;18254
234;19568;19551;22580;26365;20925;3680;17887;25525;12228;22819;33562;21231;20888;18660
235;19526;19538;22694;26143;20839;3687;13554;25448;12162;23310;33595;21402;21069;18297
236;19533;19280;22585;26613;20981;3673;17675;25499;12821;22863;33794;21335;21300;18749
237;19264;19439;22386;26640;20669;3662;13458;25398;12281;23017;33595;21284;21342;18250
238;19508;19419;22211;26229;20827;3705;13590;25525;12057;22819;33728;21227;20333;18178
239;19540;19260;22595;26628;20884;3713;13531;25474;12593;23242;33828;21307;21300;18373
240;19518;19432;22667;26365;20668;3680;13323;25376;12092;22951;33661;21225;21048;18216
241;19307;19650;22319;26340;20962;3683;17977;25448;12463;23265;31579;21159;21496;18641
242;19448;19425;22654;26418;20670;3713;13690;25525;12305;22995;33562;19887;21385;18226
243;19511;19525;22231;26616;21114;3716;13416;25474;12652;23062;33996;21257;21517;18386
244;19476;19522;22314;26360;20813;3655;13234;25351;12115;23084;33529;21123;21111;18190
245;19522;19465;22067;26613;20819;3698;17545;25499;12221;22819;33661;21188;21363;18634
246;19314;19373;22526;26687;20845;3724;14000;25448;12186;23040;33728;21237;20971;18323
247;19310;19571;22819;26465;21057;3662;17211;25499;12377;22951;31487;21367;21539;18596
248;19278;19492;22469;26286;21136;3709;17545;25525;12389;22973;31610;21047;21215;18573
249;19533;19412;22519;26815;20845;3680;13355;25423;12550;23129;33794;21375;21406;18351
250;19529;19353;22594;26491;20862;3702;14196;25474;12593;22775;33661;21462;21090;18395
251;19518;19386;22572;26225;20879;3673;13503;25525;12174;22819;34030;21257;21539;18289
252;19561;19505;22593;26566;20978;3687;13556;25448;12329;23062;33828;21307;21560;18363
253;19247;19366;22153;26130;20831;3687;13301;25423;12535;22907;32417;21329;21215;18174
254;19303;19512;22589;26376;20774;3687;13592;25448;12575;23084;33728;21301;21539;18348
255;19303;19544;22592;27015;21057;3713;18042;25545;12570;22819;33861;21216;21111;18778
256;19564;19445;22130;26481;20829;3705;13367;25474;12233;23017;33695;21251;21427;18272
257;19416;19571;22369;26196;20833;3683;13463;25423;12139;23040;33464;21319;21278;18245
258;19497;19637;22028;26386;20766;3716;13349;25499;12221;22667;33828;21349;21215;18244
259;19307;19611;22552;26022;21087;3633;17439;25499;12341;22841;31765;21278;21215;18541
260;19526;19459;22286;26862;21067;3702;17667;25474;12115;23152;31703;21102;20888;18573
261;19501;19340;22241;26569;20774;3698;13548;25398;12233;22907;33562;21308;20930;18239
262;19310;19584;22883;26344;20810;3637;16005;25571;12186;22995;33464;21360;21363;18523
263;19540;19498;22332;26835;20967;3640;17936;25474;12664;22841;32234;21367;20909;18656
264;19501;19353;22637;26281;20826;3705;12719;25423;12174;23242;33761;21180;21194;18199
265;19501;19254;22411;26229;20270;3716;14294;25525;12512;23084;33204;21295;21236;18327
266;19511;19452;22693;26922;21243;3665;13340;25448;12245;22885;33431;21364;21278;18316
267;19536;19386;22367;26402;20764;3658;17545;25474;12069;22732;33628;21222;21427;18598
268;19522;19498;22303;26317;21063;3669;17781;25474;12712;23107;33794;21331;21321;18746
269;19296;19392;22402;26862;21039;3751;17667;25525;12712;22710;33728;21272;21069;18732
270;19487;19584;22623;26391;20732;3665;13550;25423;12365;23062;33431;21302;21152;18289
271;19490;19465;22213;26613;20845;3673;17219;25571;12438;23197;31548;21131;20971;18536
272;19300;19492;22173;26418;21097;3740;17667;25474;12186;23017;31274;21312;22414;18640
273;19543;19313;22583;26344;20719;3669;14236;25376;12676;22885;32696;21349;21300;18342
274;19518;19452;22644;26622;20633;3658;18018;25423;12269;22863;33794;21429;21278;18700
275;19455;19770;22240;26502;21079;3640;17920;25474;12293;22645;31395;21259;21342;18582
276;19458;19459;22497;26418;20989;3629;17113;25376;12209;22863;31124;21221;21236;18472
277;19289;19333;22456;26392;20667;3731;13536;25545;12587;22732;33761;21273;21257;18296
278;19441;19544;22278;26788;21050;3728;17325;25398;12629;23062;33861;21352;21581;18757
279;19554;19604;22158;26418;21000;3709;18132;25499;12712;22667;33628;21237;21194;18744
280;19504;19301;22418;26714;20849;3665;17333;25499;12197;23152;33794;21319;21406;18656
281;19533;19400;22901;26936;20959;3655;17578;25525;12605;22863;33301;21317;21363;18738
282;19504;19432;22226;26309;20764;3720;13571;25474;12269;23017;33595;20419;20909;18196
283;19564;19247;22495;26423;21021;3644;17847;25474;12582;22775;32510;20701;20888;18578
284;19536;19386;22605;26640;20765;3665;14408;25423;12104;22819;33661;21216;20888;18321
285;19557;19478;22554;26788;20996;3626;17382;25622;12011;22645;33794;21358;20930;18608
286;19497;19379;21952;26613;20921;3633;17806;25525;12186;23040;31610;21171;21300;18537
287;19497;19455;21976;27158;21137;3637;17692;25448;12475;22710;31827;21240;20971;18581
288;19293;19366;22380;26165;20894;3728;13425;25448;12463;22753;33828;21295;21363;18277
289;19289;19518;22862;26613;21028;3676;17716;25474;12317;23017;31703;21219;21496;18639
290;19317;19360;22508;26909;21004;3691;17358;25448;12104;23040;33398;21261;21496;18650
291;19522;19604;22649;26213;20776;3702;13590;25571;12233;23129;33761;21278;21236;18322
292;19561;19498;22396;26270;20650;3702;13731;25423;12546;22688;33861;21307;21517;18335
293;19518;19472;22524;26596;20757;3691;15899;25525;12712;23017;33595;21263;21385;18589
294;19278;19492;22386;26191;20804;3683;17284;25423;12046;23107;33962;21343;21048;18583
295;19285;19538;22590;20182;19424;3665;15687;25474;12724;23174;33628;18405;21840;17908
296;19533;19525;22722;26714;20944;3655;16078;25525;12414;22311;34132;21264;21173;18557
297;19444;19531;22257;26239;21049;3720;17757;25448;12664;22710;32634;21286;21406;18673
298;19515;19511;22702;26213;21067;3713;17643;25525;12389;22624;31703;21126;21624;18623
299;19511;19439;22712;26687;20807;3709;13528;25474;12587;22907;33562;21330;21427;18365
300;19264;19498;22432;26262;20774;3694;13321;25448;12034;22929;33333;21295;21539;18214
301;19522;19551;22529;26492;21153;3691;17162;25474;12463;22775;31579;21168;21363;18583
302;19487;19254;22319;26465;20700;3658;13436;25525;12451;22797;33661;21330;21111;18241
303;19490;19644;22650;26428;20958;3673;13935;25398;12736;23174;33628;21245;21624;18438
304;19483;19452;22392;26402;20990;3683;17904;25474;12305;22710;31672;21068;21539;18593
