LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
395;19494;19366;22338;26640;20795;3665;14049;25545;12558;22624;33464;21184;21560;18347
396;19501;19300;21972;26234;21063;3705;13363;25376;12139;23040;33431;21295;21406;18225
397;19455;19525;22211;26260;20823;3731;13927;25499;12186;22995;33929;21307;21560;18347
398;19462;19606;22532;26194;20760;3724;17773;25499;12150;22841;33661;21114;20682;18613
399;19303;19206;22432;26532;20776;3744;13412;25474;11943;22995;33794;21175;21710;18256
400;19501;19287;21897;26506;20698;3709;15891;25423;12593;22841;33828;21131;21300;18496
401;19511;19505;22611;26862;20979;3673;17268;25448;12174;22819;33695;21129;20641;18603
402;19293;19478;22753;26613;20934;3691;17822;25596;12317;23107;33761;21251;21517;18743
403;19540;19379;22463;26584;20718;3705;13466;25499;12377;23017;33761;21293;21602;18330
404;19490;19039;22236;26607;20795;3713;13878;25376;12245;22047;33628;21154;20784;18188
405;19540;19591;22102;26590;20855;3691;17594;25474;12600;23084;31094;21104;21342;18587
406;19529;19478;22529;26208;20762;3698;13398;25571;12463;23197;33728;21113;21048;18288
407;19476;19419;22682;26454;20710;3744;13487;25423;12057;22885;33761;21266;21257;18278
408;19296;19313;22264;26687;20749;3709;14326;25571;12293;22863;33828;20818;21560;18344
409;19473;19406;22240;26788;20501;3702;15866;25499;11977;22710;33301;21163;21710;18453
410;19518;19379;22481;26303;20812;3728;13641;25448;12221;23084;33661;21230;21645;18325
411;19526;19558;22658;27232;20945;3716;13338;25525;12186;22400;33794;21183;21321;18311
412;19487;19565;22772;26014;20870;3713;14131;25499;12069;23220;33728;21245;21517;18376
413;19494;19531;22664;25837;20748;3655;16029;25474;12454;22885;33895;21275;21406;18530
414;19511;19445;22643;26418;21142;3724;17692;25474;12587;23129;30600;21208;21363;18627
415;19289;19888;22068;26022;20878;3740;13976;25499;12550;23242;33431;18702;21152;18177
416;19497;19432;22765;26788;20914;3713;17235;25376;12069;23129;33562;21225;21090;18645
417;19529;19386;22475;26387;20506;3716;16233;25499;12115;23220;33661;21257;21427;18539
418;19504;19485;22762;26492;21149;3740;13463;25423;12150;22289;33628;21205;21581;18302
419;19406;19432;22152;26243;20847;3702;13522;25423;12329;22929;33661;21249;21539;18273
420;19458;19776;22419;26096;20948;3694;14318;25448;12748;22995;33929;21183;21406;18446
421;19508;19511;22478;26788;20984;3713;17961;25499;12629;23152;33761;21270;21300;18797
422;19441;19578;22574;26312;20636;3622;16755;25448;12500;22797;33562;21171;20930;18538
423;19504;19472;22523;26048;20754;3716;13780;25448;12174;21918;33398;21245;21581;18234
424;19183;19498;22381;25900;20687;3687;17162;25525;11909;22710;33595;21145;21688;18522
425;19518;19392;22424;26962;20918;3713;16966;25474;11809;22995;33497;21116;21111;18566
426;19508;19308;22167;25489;21173;3694;17512;25499;12426;23040;31365;21120;21539;18530
427;19522;19432;22588;26122;20938;3673;17952;25448;12465;22929;33828;21180;21539;18721
428;19508;19392;22444;26566;20960;3702;13526;25423;12233;23062;33695;21175;21688;18325
429;19515;19406;22720;26788;20759;3731;15834;25376;12034;22863;33794;21087;21427;18519
430;19522;19578;22266;26344;20773;3724;13436;25474;12317;22819;33929;21202;21688;18311
431;19187;19333;22614;26246;21034;3669;17578;25398;12562;22266;31034;21092;21385;18498
432;19533;19597;22674;25805;20902;3755;14668;25474;12451;22688;33661;21215;21111;18413
433;19536;19518;22440;25896;20812;3724;13535;25499;12127;22775;33628;21172;21069;18230
434;19508;19221;22178;26344;20640;3733;13319;25545;12150;23107;31395;21018;21342;18120
435;19536;19445;22626;26454;20796;3702;17374;25474;12057;23017;33268;21125;20516;18559
436;19526;19485;22455;26640;20738;3713;13476;25499;12104;22885;33628;21099;21624;18288
437;19497;19320;22222;26640;21012;3716;17374;25525;11966;22688;33431;21237;21427;18600
438;19494;19611;22726;26317;20669;3716;13450;25448;12186;23220;33529;21264;21363;18305
439;19473;19366;21916;26225;20675;3713;15940;25525;12664;22355;33661;21281;21257;18473
440;19494;19300;22143;27057;20541;3658;13456;25448;12000;22995;33366;21080;21300;18196
441;19529;19432;22643;26788;20941;3724;17684;25499;12593;22863;33661;21186;21048;18733
442;19423;19492;22492;26156;20811;3713;15817;25499;12512;23084;33236;21149;21215;18508
443;19543;19399;22464;26360;20904;3713;13566;25474;12174;23288;33695;21236;21581;18329
444;19540;19459;22281;26956;20967;3709;17023;25525;12269;22753;31214;21044;21427;18528
445;19511;19452;22297;26566;20747;3713;13992;25448;12069;23129;33497;21258;21363;18320
