LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
238;19233;3313;18491;26035;20773;3728;14505;25448;12186;21918;33962;21102;21517;15730
239;18159;3597;18222;26909;20993;3702;17749;25545;12389;21811;31365;21035;21624;15957
240;19296;4516;18000;26502;20750;3698;17455;25545;12186;22069;33895;20976;21688;16335
241;18195;2939;18382;26761;20574;3716;17749;25326;12463;22178;31094;20986;21173;15676
242;18184;4093;16686;26657;20675;3720;14033;25474;12150;22113;33236;21065;21152;15734
243;18216;3894;17542;26317;20711;3683;17178;25571;12023;21601;33431;20706;21427;15922
244;19282;3412;17900;26640;20708;3735;17301;25622;12582;21918;33497;21069;20909;15965
245;18152;4760;18233;26344;20794;3705;17741;25525;12233;22047;31890;21142;21131;16262
246;18219;4529;18459;26460;20726;3687;14171;25448;12587;21961;33595;21106;21090;16024
247;19268;3187;18227;26439;20757;3691;15801;25499;12652;21769;33529;21154;21090;15780
248;18198;4675;18069;26376;20821;3676;14318;25499;12593;21790;33431;20816;20743;15996
249;18135;4192;16519;26340;20902;3698;18026;25596;12550;22091;31365;21093;21131;16019
250;19314;3729;17837;26613;20507;3662;13369;25423;12023;21982;33398;21114;20971;15661
251;19257;3002;18042;25980;20719;3676;16583;25474;12186;18578;33075;21102;21321;15482
252;18170;3332;17810;26496;20765;3680;17936;25474;12629;21748;33794;21048;21194;15894
253;18219;3795;18146;26465;20580;3698;14082;25448;12550;21939;31672;20941;21131;15691
254;18205;3762;17963;26391;20556;3709;17007;25398;11989;21748;30448;21089;21215;15792
255;18233;4331;16793;26317;20710;3665;15866;25545;12488;21663;33464;20856;21363;15952
256;18149;4536;17552;26053;20800;3705;16070;25571;12162;20528;33595;21116;21236;15995
257;18159;4265;17499;26391;20508;3698;17374;25351;12593;21939;33761;20838;21152;16107
258;18121;4855;18381;26267;20727;3720;14261;25525;12640;21790;33497;21089;21539;16128
259;18241;3537;18186;25974;20668;3705;14562;25499;12069;21854;33204;21098;21152;15653
260;18166;3081;18098;26613;20699;3658;17064;25474;12092;21601;30600;21087;21475;15589
261;18230;3894;17940;26610;20892;3751;17610;25423;12092;21854;31214;21186;21194;15973
262;18212;3418;18099;26391;20608;3669;14000;25448;12523;21663;33172;21040;21152;15588
263;18191;3193;18299;26549;21074;3731;17431;25499;12233;21601;33728;20900;21111;15817
264;18241;4146;16654;26465;19832;3705;17325;25499;12000;22156;33628;20814;21753;15966
265;18223;4503;18363;26225;20842;3698;16877;25525;12150;22026;31365;20944;21111;16096
266;18212;3246;18677;26312;20788;3687;14139;25499;12558;21748;33828;21089;21069;15620
267;18202;3088;18019;26788;20508;3705;14131;25571;12477;21961;33464;20744;21090;15503
268;18226;4812;18489;26586;20661;3698;13968;25525;12174;21790;33628;20690;21278;16029
269;18170;3385;18105;26491;20776;3702;15850;25474;12377;22069;33661;20832;20846;15746
270;19307;3921;18343;26936;20636;3713;17423;25474;12092;21643;33562;20848;21152;16111
271;18195;3127;18093;26643;20615;3694;13951;25499;12104;21918;33431;20771;21090;15462
272;18219;4760;18502;26243;20758;3687;15866;25499;12389;21875;33695;20898;21385;16207
273;19307;3722;18377;26915;20773;3691;17675;25398;12546;21769;33962;21101;21048;16139
274;18230;4862;18370;26277;20883;3665;17374;25499;12451;21748;31335;21127;21300;16257
275;19282;3134;18354;26788;20697;3687;17260;25474;11989;22047;33628;21145;21048;15837
276;18237;4284;16091;26381;20762;3691;16298;25423;11989;21790;33562;21108;21152;15892
277;18205;4760;17748;26048;20500;3658;14277;25545;12488;21580;33661;20847;21194;15969
278;18163;3049;17786;26788;20779;3680;17097;25398;11876;22026;33529;21034;21111;15662
279;18212;4251;16037;27010;20670;3702;14342;25423;12582;21705;33595;21100;20867;15786
280;18219;4727;18324;26862;20909;3683;16746;25525;12305;21832;33464;21078;21427;16285
281;18198;3584;18119;26418;20673;3683;14302;25448;12587;21726;33464;21034;21406;15715
282;18181;3233;18248;26470;20858;3720;15654;25398;12034;21790;33431;21087;21427;15682
283;19285;4773;18389;26019;20581;3669;15940;25474;12558;21832;33595;21143;21236;16267
284;18219;4000;17686;26714;20414;3709;13495;25525;12233;22004;33268;20820;21539;15729
285;18244;4066;16578;26579;20810;3728;16828;25525;12233;21705;31426;21017;21152;15867
286;18219;4622;18151;26607;20767;3728;15834;25571;12353;21790;33695;21155;21363;16184
287;18121;3372;18142;26909;20685;3713;17586;25525;12034;21918;33794;20799;21385;15878
288;19300;4608;18225;26083;20827;3713;16885;25474;12104;21580;31184;21056;21069;16149
289;18170;3610;18182;26267;20743;3720;14375;25448;12011;21601;33464;21077;20601;15634
290;19250;3253;18176;26714;20751;3676;17798;25448;12438;21982;31365;20978;21257;15860
291;19293;3729;17661;26586;20820;3439;14538;25525;12221;21982;33431;20672;21257;15707
292;18198;3438;18427;26439;20711;3702;17284;25499;12736;21705;33695;21070;21560;15960
293;18233;4853;18445;26909;21210;3728;17692;25474;12617;21663;33861;21084;21321;16460
294;18209;4906;17737;26714;20793;3724;16094;25525;11966;21854;33431;20910;21069;16174
295;18212;3670;18157;26596;20775;3691;17675;25474;12463;21684;31214;21142;21257;15921
296;19300;4864;18446;26761;20996;3702;16730;25525;12257;21790;33695;21030;21236;16394
297;18184;2942;18218;26413;20683;3735;14212;25499;11909;22113;33366;21095;21069;15432
298;18202;4622;17837;26317;20825;3702;15793;25545;12284;21875;33301;20817;21131;16087
299;18209;4886;15918;26365;20746;3705;15997;25474;12582;22047;33333;20836;14678;15625
300;18209;4886;18348;26761;21117;3724;17390;25448;12402;21982;31548;20980;20930;16302
301;18237;3769;18671;26208;20675;3713;14171;25448;12537;22026;33628;21137;20846;15795
302;18156;4628;18121;26225;20701;3698;14236;25525;12525;21918;31274;21124;20888;15917
303;18226;4857;18138;26344;20798;3691;17659;25474;12365;21896;31094;20974;20764;16214
304;18216;3517;18119;26566;20614;3705;13412;25499;11954;21961;33333;21122;21194;15568
