LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
191;19511;19227;22668;26492;20839;3709;16909;25525;12057;23129;31456;20430;21753;18479
192;19522;19494;22291;25824;20682;3644;16062;25525;12081;22885;33562;21269;21090;18423
193;19568;19619;22569;26492;20959;3713;18034;25499;12593;23062;33929;21246;21645;18822
194;19278;19445;22232;26640;20633;3687;13327;25474;12162;22951;34030;21216;21111;18221
195;19518;19373;22431;26549;20759;3691;13472;25448;12269;23152;33828;21216;21300;18293
196;19511;19459;22598;26566;20945;3574;16127;25571;12104;22819;33761;21221;20888;18469
197;19324;19445;22670;26586;20862;3720;13433;25499;12150;22907;33529;21280;20950;18258
198;19518;19531;22487;26418;20649;3716;17317;25423;12057;22624;33761;21286;21539;18618
199;19561;19379;22369;26566;20554;3698;14065;25423;12772;22710;33794;20608;20930;18304
200;19321;19525;22442;27057;20860;3429;15915;25525;12104;23040;33794;21316;21517;18453
201;19526;19538;22214;26402;20920;3731;17333;25448;12069;23017;33695;21246;21517;18647
202;19557;19531;22373;26139;20774;3740;13674;25499;12629;22907;33828;21124;21427;18353
203;19526;19412;22347;26344;20892;3633;15915;25571;12150;22863;33828;21298;21257;18480
204;19540;19406;22557;26569;20821;3705;13460;25423;12537;22973;32847;21333;21560;18316
205;19487;19704;22440;26251;21055;3731;17814;25499;12340;23084;33794;21249;20846;18709
206;19543;19492;22543;26270;21163;3611;17781;25499;12115;22688;31827;21170;21539;18568
207;19522;19478;22425;26324;20814;3728;13454;25474;12115;22581;33962;21298;21278;18262
208;19554;19465;22515;26564;20578;3691;15980;25474;12139;23017;33728;21180;21342;18512
209;19518;19425;22614;26613;20590;3705;13352;25474;12293;22453;33728;21210;21069;18234
210;19536;19492;22051;25972;20954;3680;13545;25545;12550;23084;33861;21278;21517;18317
211;19518;19353;22750;26465;20814;3683;13223;25423;12057;22797;33628;21227;20950;18203
212;19515;19478;22306;26283;20782;3691;13617;25448;12546;23107;32510;21352;21688;18302
213;19518;19145;22619;26835;21000;3702;17952;25423;12587;22538;31610;21123;21090;18611
214;19561;19406;22421;27084;21024;3724;13333;25448;12257;23084;33464;21215;20682;18279
215;19257;19419;22464;26027;21133;3594;17496;25376;12341;23062;33728;21277;21560;18625
216;19490;19426;22428;26566;20912;3698;16380;25474;12115;22885;33828;21101;21363;18549
217;19561;19479;22124;26237;20766;3655;15940;25525;12629;22517;33661;21263;21883;18532
218;19536;19366;22256;26714;20776;3716;14098;25499;12127;22929;33628;21082;20930;18297
219;19554;19518;22467;26695;20687;3673;17325;25423;11966;23084;33962;21230;21731;18656
220;19420;19499;22266;26465;20736;3720;17464;25499;12000;22951;33661;21196;21152;18599
221;19268;19359;22535;26687;20817;3724;14440;25448;12127;23152;33761;21125;21427;18385
222;19473;19776;22258;26492;20752;3698;13438;25474;12562;23288;33794;21192;21257;18341
223;19526;19288;22241;26270;20950;3731;16893;25571;12245;23174;31579;21234;21236;18514
224;19526;19445;22142;26122;20710;3698;16029;25474;12011;22134;33861;21234;21090;18399
225;19487;19446;22579;26286;20761;3644;17512;25525;11989;22841;33695;21151;21342;18590
226;19504;19207;22492;26309;20751;3640;15989;25525;12023;22929;33595;21110;21236;18434
227;19540;19452;22379;26340;20760;3463;15931;25571;12069;23084;33929;21202;21194;18408
228;19515;19215;22155;26613;20975;3687;16135;25423;12092;22775;33398;21175;21194;18462
229;19455;19538;22339;26418;21056;3619;17504;25398;12414;22863;31703;21103;21321;18549
230;19225;19538;22302;26335;20868;3705;13642;25448;12174;23017;33861;21222;20702;18237
231;19543;19361;22432;26651;20699;3720;13480;25525;12500;23062;33895;21293;21560;18357
232;19501;19320;22647;26418;20940;3082;13870;25525;12546;22841;33861;20196;21496;18057
233;19554;19294;22630;26539;20803;3716;13385;25499;12525;23017;33895;21230;21069;18317
234;19511;19459;22521;26339;20852;3691;17904;25499;12587;23017;31548;21193;21427;18642
235;19518;19492;22146;26936;20886;3709;17178;25545;12115;22863;33301;21133;21517;18621
236;19518;19320;22765;26822;20839;3662;13343;25499;12023;23084;31827;21090;21152;18172
237;19310;19485;22341;25966;21096;3673;17675;25499;12600;23152;33794;21234;21496;18704
238;19201;19472;22390;26761;21024;3683;17341;25448;12150;23084;31703;21096;21385;18546
239;19571;19459;22351;26539;20904;3676;16918;25474;12174;22951;31456;21221;21152;18490
240;19395;19392;22777;26586;20782;3731;13642;25474;12353;22732;33661;21280;21427;18334
241;19518;19452;22399;26640;21076;3691;16062;25545;12233;22559;33529;21222;21517;18539
242;19303;19379;22239;26288;20762;3665;16135;25499;12115;22688;33695;21353;21321;18458
243;19282;19353;22432;26566;20932;3680;13529;25622;12389;22775;33962;21212;21111;18282
244;19289;19392;22054;26506;20756;3709;13943;25474;12582;22819;33895;21020;21385;18318
